track_id,track_name,track_artist_name,track_popularity,track_lyrics
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI,91,
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90,
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,89,
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,87,
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,87,
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,85,
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,83,
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,83,
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,82,
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,82,
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,82,
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,82,
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,82,
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,82,
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,82,
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,82,
0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,82,
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,82,
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Usher,82,
1OOtq8tRnDM8kG2gqUPjAj,Beat It,Michael Jackson,81,
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,81,
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,81,
4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,81,
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,81,
6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,80,
2cc8Sw1OnCuA5bV8nqWqpE,You,Regard,80,
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",Pharrell Williams,80,
0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),Calvin Harris,80,
2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,80,
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,Swedish House Mafia,79,
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,79,
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,Calvin Harris,79,
1lhm29o3syw122xynSKaAK,Love Me Like That,Sam Kim,79,
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,79,
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,79,
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),Daniel Caesar,79,
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,78,
2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,will.i.am,78,
2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster,Michael Jackson,78,
1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,78,
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),Justin Timberlake,78,
7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,78,
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),Bad Bunny,78,
0k2GOhqsrxDTAbFFSdNJjT,Temperature,Sean Paul,78,
3bC1ahPIYt1btJzSSEyyrF,Whistle,Flo Rida,78,
2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,78,
