track_id,track_name,track_artist_name,track_popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI,91,0.0383,https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX,0.591,141806.0,0.764,0.0,1.0,0.103,-5.484,1.0,0.0483,169.928,4.0,https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX,audio_features,spotify:track:5PjdY0CKGZdEuoNab3yDmX,0.478
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,90,0.321,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,0.677,198082.0,0.696,0.0,0.0,0.42,-6.181,1.0,0.119,90.03,4.0,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,audio_features,spotify:track:4iJyoBOLtHqaGxP12qzhQI,0.464
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,89,0.122,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,0.548,174000.0,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,4.0,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,audio_features,spotify:track:6UelLqGlWMcVH1E5c4H7lY,0.557
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,87,0.163,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.599,263400.0,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,3.0,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.168
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,87,0.00883,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,0.702,203064.0,0.825,0.0,6.0,0.0674,-3.787,0.0,0.0601,102.977,4.0,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,audio_features,spotify:track:5nujrmhLynf4yMoMtj8AQF,0.915
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,85,0.695,https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh,0.358,211467.0,0.557,0.0,10.0,0.0902,-7.398,1.0,0.059,85.043,4.0,https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh,audio_features,spotify:track:5uCax9HTNlzGybIStD3vDh,0.494
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,83,0.615,https://api.spotify.com/v1/audio-analysis/2rOnSn2piaqLAlYjtfUBlY,0.72,230292.0,0.63,0.0,10.0,0.108,-5.549,1.0,0.0413,81.009,4.0,https://api.spotify.com/v1/tracks/2rOnSn2piaqLAlYjtfUBlY,audio_features,spotify:track:2rOnSn2piaqLAlYjtfUBlY,0.512
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,83,0.177,https://api.spotify.com/v1/audio-analysis/2tnVG71enUj33Ic2nFN6kZ,0.88,157606.0,0.751,6.43e-05,7.0,0.106,-4.258,0.0,0.0874,117.948,4.0,https://api.spotify.com/v1/tracks/2tnVG71enUj33Ic2nFN6kZ,audio_features,spotify:track:2tnVG71enUj33Ic2nFN6kZ,0.884
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,82,0.0863,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,0.649,205947.0,0.716,2.63e-05,8.0,0.135,-5.371,1.0,0.0349,99.988,4.0,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,audio_features,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,0.163
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,82,0.264,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,0.787,237893.0,0.673,3.35e-06,11.0,0.0904,-4.583,0.0,0.159,110.962,4.0,https://api.spotify.com/v1/tracks/3Dv1eDb0MEgF93GpLXlucZ,audio_features,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,0.779
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,82,0.0928,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,0.918,231400.0,0.609,0.0,10.0,0.139,-5.64,0.0,0.0791,128.008,4.0,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,audio_features,spotify:track:0CAfXk7DXMnon4gLudAp7J,0.304
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,82,0.284,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,0.778,218093.0,0.824,0.0,10.0,0.405,-5.892,0.0,0.0707,100.024,4.0,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,audio_features,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,0.758
0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,82,0.174,https://api.spotify.com/v1/audio-analysis/0NlGoUyOJSuSHmngoibVAs,0.188,305747.0,0.411,0.153,0.0,0.0843,-9.733,1.0,0.0484,187.376,3.0,https://api.spotify.com/v1/tracks/0NlGoUyOJSuSHmngoibVAs,audio_features,spotify:track:0NlGoUyOJSuSHmngoibVAs,0.159
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,82,0.009,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,0.726,199987.0,0.787,0.0,4.0,0.0596,-2.494,1.0,0.0737,124.99,4.0,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,audio_features,spotify:track:4cluDES4hQEUhmXj6TXkSo,0.888
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,82,0.918,https://api.spotify.com/v1/audio-analysis/69vToJ9BMbbLlFZo7k7A7B,0.329,204326.0,0.235,0.0,10.0,0.137,-7.699,1.0,0.0303,171.006,3.0,https://api.spotify.com/v1/tracks/69vToJ9BMbbLlFZo7k7A7B,audio_features,spotify:track:69vToJ9BMbbLlFZo7k7A7B,0.22
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,82,0.859,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,0.672,226600.0,0.52,0.0,8.0,0.115,-7.747,1.0,0.0353,120.001,4.0,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,audio_features,spotify:track:5O2P9iiztwhomNh8xkR9lJ,0.37
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,82,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667.0,0.609,8.15e-05,0.0,0.0344,-7.223,1.0,0.0824,114.988,4.0,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,82,0.009,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,0.726,199987.0,0.787,0.0,4.0,0.0596,-2.494,1.0,0.0737,124.99,4.0,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,audio_features,spotify:track:4cluDES4hQEUhmXj6TXkSo,0.888
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Usher,82,0.0183,https://api.spotify.com/v1/audio-analysis/5rb9QrpfcKFHM1EUbSIurX,0.894,250373.0,0.791,0.0,2.0,0.0388,-4.699,1.0,0.112,105.018,4.0,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX,audio_features,spotify:track:5rb9QrpfcKFHM1EUbSIurX,0.583
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,81,0.595,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,0.686,242187.0,0.457,0.0,11.0,0.105,-8.322,1.0,0.0468,150.953,4.0,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,audio_features,spotify:track:1EzrEOXmMH3G43AXT1y7pA,0.718
